case,A_rate_median,B_rate_median,paired_block_speedup,ci95_low,ci95_high
formal_deep,622249.2417885205,919306.7969881132,1.4965773860399227,1.4582075515916717,1.5337761354059904
formal_shallow,590565.6920994013,770771.8854973477,1.3071535441835624,1.2938997827057408,1.3120676720131883
formal_warm,1478204.336826013,2266364.2790674088,1.5437797698556741,1.5088140438591726,1.5541191631087834
formal_visible,689440.651386444,688913.487751862,1.0014075778601987,0.9924328869422525,1.0551758834729865
formal_cycle,2265999.156314291,2270420.4219430583,0.9998419343057278,0.9845521458385579,1.0093677040144555
formal_editor,510309.2772989748,617096.7008982706,1.208205821722552,1.2026063436525798,1.210390074097607
formal_proof_on,458219.30290140945,455480.35755598976,0.9956100871248618,0.9887231571793597,1.0201539842443952
formal_proof_off,754917.1945701079,747657.7146319423,0.9831639047994661,0.9475830421572764,1.0057416252052187
formal_defender,618673.2124834293,1095379.5726435483,1.7782747125349727,1.7665384208665698,1.7838456473610425
holdout_deep,595207.8641040144,891095.3814122529,1.4860423644020955,1.4677816246990578,1.522059952296098
holdout_proof_off,690744.4811785758,671825.2893363717,0.9295687365370711,0.8342804069889647,1.030741606357284
python_proof_batch_off,1957780.734386859,1963638.5939527114,0.9997441741926366,0.9900766922707771,1.0256984203886024
python_proof_batch_on,306129.17604442104,304366.47099184117,0.994070767682315,0.9416703796433654,1.0732375671780308
