case_id,workload,fixture,persistent_reuse,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_p95_rate_per_second,B_p95_rate_per_second,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
state_key,solver_state_key,reveal_heavy,false,2000000,6730589.784651455,23221358.51550144,3.373953472922542,3.334568148297154,3.4525442748909407,7223136.3201464955,23334615.462850776,5708,5706,09fabd6c0473eb83
exact_five_moves,exact_reveal,five_moves,false,139868,658148.3605446324,687570.1041171727,1.043080557086346,1.0411328104918887,1.0504478381032394,662628.1409178402,693757.9735566943,16426,16416,9dd9c11919a4581a
exact_hidden_reserve,exact_reveal,hidden_reserve,false,418336,849291.6203860212,888905.3195322792,1.0467642436091436,1.0405525498055075,1.0556472511844754,855203.6600024957,898108.3453764679,36394,36392,684280a42eaabf21
exact_persistent,exact_reveal,five_moves,true,280909,1159054.124020514,1252311.449194218,1.0780634933240782,1.065632365898585,1.0982755968976101,1194467.9285685334,1295976.009199941,48580,48594,34eff58fdf34805c
control_solver_tt,solver_tt,midgame_250,false,20000000,36699008.09354225,36722694.50863877,0.9999033055530981,0.9946567400885656,1.0120134197635202,36875270.91224834,36844997.82544365,5660,5656,575c26bfdff10f4a
control_visible_solver,visible_solver,five_moves,false,100000,702955.7461163311,706925.0100309682,1.0028135271723126,1.0000188399621908,1.0128673344012549,713959.3850821672,714577.1793123855,13032,13112,b6cdbdc80156e463
control_board_copy,board_copy_restore,midgame_250,false,2000000,12499325.53385954,12395410.47981309,0.9956853579042283,0.9670908572312064,1.038245594305641,13050344.294136053,13042717.472436018,5700,5696,c35f3a2d19cd3783
