case,A_rate_median,B_rate_median,paired_block_speedup,ci95_low,ci95_high
formal_cycle,2236111.617603303,2226584.971005341,1.0043508896703357,0.9941891707894506,1.006378892599514
formal_deep,922067.892576708,994218.0760472754,1.084809513041333,1.0573863326462178,1.087782677882354
formal_defender,1082856.4172044278,1194287.4740264453,1.1049998270082322,1.0863026109193437,1.169483820141759
formal_editor,599398.019653403,662983.7330057374,1.0960479885554708,1.0748722374822832,1.1433821175088785
formal_proof_off,706089.003018565,704674.7667442209,0.9799619346187917,0.960799488851335,1.0026530522539367
formal_proof_on,434506.8988458918,420038.37784330593,0.9758097742599255,0.9550585295663835,0.986130071600889
formal_shallow,751036.3631683218,814067.9311850327,1.0764973664369686,1.0035497187241862,1.0900028949984415
formal_visible,667507.7349766566,666932.306182123,1.0130377131207924,0.9905743739302522,1.0228406316809169
formal_warm,2096997.4594138656,2244548.464874809,1.0731131069616153,1.059744668415327,1.089614854307709
holdout_deep,915884.1068235473,989912.7963865007,1.081894575263047,1.0783012121823852,1.0875641554871511
holdout_proof_off,714765.0190969749,726929.8652902283,1.0091200929809925,0.976619358628297,1.0415522232266634
holdout_proof_on,446817.09921130794,436673.7530942812,0.9707620644502917,0.965977000366112,0.9982680469763077
native_proof_batch_off,5208456.93693751,5214133.951037273,1.00855747056507,0.9900952051755392,1.0100950444628114
native_proof_batch_on,855845.8864612516,869441.8269598063,1.0243448646548416,1.0143786000633683,1.0269693149015506
python_proof_batch_off,2026377.6026014443,2032073.2119340417,1.0009579889902107,0.9938311113876807,1.0182242427229689
python_proof_batch_on,306868.7500854833,308399.0577635236,1.0092948311980703,1.0022972943242998,1.0121073960989573
