workload,fixture,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_p95_rate_per_second,B_p95_rate_per_second,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
legal_count,midgame_250,100000,1182482.9255976568,1182002.0030902724,1.00068798257102,0.997780988940196,1.0025407265661326,1185109.280615117,1188929.8921193387,5680.0,5534.0,6d9802c2ed236f83
legal_codes,midgame_250,20000,155003.52505066394,154909.88478037025,0.9997069270136519,0.9975033218765778,1.0018087475750317,155158.31173793192,155211.399069234,5680.0,5686.0,9e5be642d05486c3
random_selfplay_apply,initial,250000,1597122.3249498997,1618000.7603844097,1.0124568235401128,1.0114024202575769,1.0135071201037038,1604563.563749256,1627322.4657640406,5708.0,5688.0,3c120106773c3dee
apply_only,midgame_250,2000000,20075285.230732188,22562966.411826707,1.1243886546216384,1.120746727886809,1.1285775618779124,20213303.78680471,22782009.854318503,7646.0,7642.0,764674ab4e988569
purchase_apply,midgame_250,2000000,13076812.144522393,16939876.560426503,1.2960573765235894,1.292550395656324,1.2980918650592812,13222888.287300266,17098242.58037145,7982.0,7974.0,b8a905133af8fe2d
apply_exact_hash,midgame_250,2000000,17160827.133617,18935597.786800794,1.1032370561453344,1.0896319353724404,1.1089358787697245,17303900.37316609,19030427.811444473,7790.0,7764.0,7b64b5d73134d9fc
legacy_mcts,midgame_250,65536,305734.9944144699,304763.3154554998,0.9961341041069619,0.9866674599237546,1.0017589986537396,308380.9260980934,310342.39591957617,103142.0,103150.0,0ab37fc767a05581
board_copy_restore,midgame_250,2000000,12956455.233792588,12976715.736110076,1.0017650378868408,0.9933963076832144,1.0083654442399004,13013485.753302457,13082946.597760364,5684.0,5678.0,c35f3a2d19cd3783
