case_id,workload,fixture,persistent_reuse,rate_unit,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_median_runner_rss_kib,B_median_runner_rss_kib,rss_reduction_percent,digest
state_key,solver_state_key,reveal_heavy,false,operations_per_second,2000000,21527026.909739677,21005497.446310528,0.976726614539449,0.975243453756922,0.9898705124266695,5718,5708,0.17488632388947185,122a073bd6be7b83
solver_tt,solver_tt,midgame_250,false,operations_per_second,20000000,16317411.693069264,21096687.85606478,1.2840075001947096,1.258087777200398,1.3308498290457156,5726,5694,0.5588543485853999,2bef6fcac87c8611
exact_five_moves,exact_reveal,five_moves,false,nodes_per_second,139868,364943.9202561504,378019.99726475717,1.0390563860446071,1.003259169678954,1.0782282130681398,16446,13184,19.83582634075155,9dd9c11919a4581a
exact_hidden_reserve,exact_reveal,hidden_reserve,false,nodes_per_second,418336,458099.12379934086,462556.80310252635,0.9558927281452392,0.8814598674212236,1.0492679927561148,36402,27036,25.729355529915938,684280a42eaabf21
exact_persistent,exact_reveal,five_moves,true,nodes_per_second,280909,635090.8521801771,709464.0610440837,1.0687980956553413,0.9782339987330907,1.1101210672984712,48582,35278,27.384628875715286,34eff58fdf34805c
visible_five_moves,visible_solver,five_moves,false,nodes_per_second,100000,500392.27539666614,488274.8275330706,0.9630652350178475,0.9394759669199073,1.0552986087045426,13036,11484,11.905799324946303,b6cdbdc80156e463
visible_forced_pass,visible_solver,forced_pass,false,nodes_per_second,1000000,2278664.093228005,2250366.6855439404,0.9900616631991606,0.9810440813340516,1.001149175065947,17742,13732,22.601736027505355,46ac22ac2ea2fecf
